Title,KPI Description,KPI Number ,KPINumberShort,Financial Year ,Cluster,Impact Area/Centre,Status,Planned Q delivery,Actual Q delivered,Responsible Person,RG,Target/Forecast,Is this KPI Shared with another Cluster?,"If the KPI is Shared with another Cluster, please select the Cluster involved.",Evidence Link,Created,Modified
Dummy KPI Project 1,Dummy project for Publication Equivalents,KPI 01 Publication Equivalents,KPI 01,2025/2026,Smart Mobility,SE,Moved to Next FY,Q3,,C. Jacobs,Dummy RG,Target,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-06-20T06:20:55.873122,2026-02-13T06:20:55.873122
Dummy KPI Project 2,Dummy project for Publication Equivalents,KPI 01 Publication Equivalents,KPI 01,2025/2026,Smart Mobility,NSA,Forecast,Q2,Q4,E. Maseko,Dummy RG,Forecast,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-04-10T06:20:55.873122,2026-02-21T06:20:55.873122
Dummy KPI Project 3,Dummy project for SMMEs Supported,KPI 08 SMMEs Supported,KPI 08,2024/2025,Smart Mobility,WC,Moved to Next FY,Q4,Q4,C. Jacobs,Dummy RG,Target,Yes,Smart Places,https://example.com/dummy-evidence,2025-06-11T06:20:55.873122,2026-02-17T06:20:55.873122
Dummy KPI Project 4,Dummy project for Joint Tech Development Agreements,KPI 07 Joint Tech Development Agreements,KPI 07,2025/2026,Smart Mobility,NICIS,Approved,Q4,Q4,E. Maseko,Dummy RG,Target,Yes,NGEI (& NICIS),https://example.com/dummy-evidence,2025-08-24T06:20:55.873122,2026-03-04T06:20:55.873122
Dummy KPI Project 5,Dummy project for Publication Equivalents,KPI 01 Publication Equivalents,KPI 01,2024/2025,Smart Mobility,NSA,Moved to Next FY,Q2,Q4,E. Maseko,Dummy RG,Target,No,Smart Mobility,https://example.com/dummy-evidence,2025-06-07T06:20:55.873122,2026-02-22T06:20:55.873122
Dummy KPI Project 6,Dummy project for Standards Delivered,KPI 10 Standards Delivered,KPI 10,2025/2026,Smart Mobility,TSO,Moved to Next FY,Q3,,B. Ndlovu,Dummy RG,Target,No,NGEI (& NICIS),https://example.com/dummy-evidence,2025-04-01T06:20:55.873122,2026-03-01T06:20:55.873122
Dummy KPI Project 7,Dummy project for Projects Implemented for State Capability,KPI 11 Projects Implemented for State Capability,KPI 11,2024/2025,Smart Mobility,WC,In Review,Q1,Q4,E. Maseko,Dummy RG,Target,Yes,Smart Places,https://example.com/dummy-evidence,2025-06-25T06:20:55.873122,2026-03-03T06:20:55.873122
Dummy KPI Project 8,Dummy project for New Patents Granted,KPI 03 New Patents Granted,KPI 03,2024/2025,Smart Mobility,SE,Moved to Next FY,Q1,Q3,F. van Wyk,Dummy RG,Target,Yes,Smart Mobility,https://example.com/dummy-evidence,2025-09-16T06:20:55.873122,2026-02-13T06:20:55.873122
Dummy KPI Project 9,Dummy project for Joint Tech Development Agreements,KPI 07 Joint Tech Development Agreements,KPI 07,2025/2026,Smart Mobility,FBI,In Review,Q2,,C. Jacobs,Dummy RG,Target,Yes,Smart Places,https://example.com/dummy-evidence,2025-08-04T06:20:55.873122,2026-02-05T06:20:55.873122
Dummy KPI Project 10,Dummy project for New Technology Demonstrators,KPI 04 New Technology Demonstrators,KPI 04,2024/2025,Smart Mobility,OI,Moved to Next FY,Q2,,A. Molefe,Dummy RG,Target,Yes,NGEI (& NICIS),https://example.com/dummy-evidence,2025-05-21T06:20:55.873122,2026-02-28T06:20:55.873122
